Y/N/M, POLICY NAME                           , POLICY DETAILS
M    , BFS (CMHC Program)                    , Meridian does not lend on purchases where the property being purchased is via an Assignment of Offer to Purchase.
N    , BFS ALT-A                             , 
M    , BFS Stated Income (Bank Statements)   , "Meridian requires a full 90 day audit trail for the Borrowers sources of down payment, For those gifted by a donor, we require a statement confirming the availability of the funds. The donor must be an immediate family member (defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent). In addition to down payment confirmation, 1.5% closing costs are to be confirmed for all high ratio and conventional purchases."
Y    , BFS Stated Income (Conventional)      , "Meridian requires a full 90 day audit trail for the Borrowers sources of down payment, For those gifted by a donor, we require a statement confirming the availability of the funds. The donor must be an immediate family member (defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent). In addition to down payment confirmation, 1.5% closing costs are to be confirmed for all high ratio and conventional purchases."
N    , BFS Stated Income (Sagen & CG Program), 
N    , Cash Back Mortgages                   , 
N    , Collateral Switch/Transfer            , 
N    , Construction                          , 
N    , Cottage/Recreational Properties       , 
Y    , Equity Program                        , Members are able to take advantage of our 20 / 20 prepayment privilege which allows them to increase the regular payment by up to 20% per year or to make lump sum payments (min $100) on their payment date to a max of 20% per year. The aggregate of the 2 prepayment options cannot exceed 20% per calendar year.
