Y/N/M,POLICY NAME,POLICY DETAILS
Y,BFS (CMHC Program),The document explicitly mentions 'previous power of sale' as a property history indicator. There is no ambiguity in this term; it clearly refers to properties that have undergone foreclosure actions in the past.
N,BFS ALT-A,No explicit mention found.
Y,BFS Stated Income (Bank Statements),"The policy requires a maximum of four units in multi-unit properties, such as condominiums, townhouses, and apartments. (e.g., 4-plex max)"
M,BFS Stated Income (Conventional),"The document mentions procedures related to electronic signatures and digital signings. There are multiple instances of 'e-signature', 'digital signature accepted', and 'DocuSign electronic signature'. While the term is clear, it does not explicitly name a specific policy but refers to a general procedure."
Y,BFS Stated Income (Sagen & CG Program),The policy requires a minimum of 10 acres for financed properties. This is explicitly stated in the lending criteria section under 'maximum acreage'.
N,Cash Back Mortgages,
Y,Collateral Switch/Transfer,The maximum number of properties a client can have financed is 4. This includes primary and secondary residences. Clients with more than 4 properties will need additional approvals.
Y,Construction,"The policy clearly states that a maximum of 4-plex is allowed. The document explicitly mentions 'multi-unit limit (e.g., 4-plex max)' as part of the lending area restrictions."
N,Cottage/Recreational Properties,
Y,Equity Program,The policy states that a maximum of 4-plex (multi-unit properties) can be financed.
Y,Flex Down Payments (ie; Credit Cards),"The policy explicitly states: 'A property with a single-family home, secondary suite (detached), laneway house, coach house, carriage house, or similar structures.' This allows for various types of secondary suites and accessory dwellings as long as they meet specific requirements."
M,Foreign Borrowers (Non-Residents),The policy may require a minimum population requirement for certain areas or communities. This could be related to lending restrictions based on market size.
N,Limited Feature Mortgages,N/A
N,Medical Professionals Program,
M,Mortgage & HELOC Combinations,"The document mentions 'previous power of sale' as a property history indicator (e.g., past foreclosures). This refers to properties that have been listed for sale due to foreclosure. The policy is implied in the procedures mentioned."
N,Net Worth Program,
Y,New to Canada,The document explicitly states that Tarion warranty is required for new homes and new construction.
N,New to Canada (Rental),
Y,No-fee Alt Lender,"Includes a requirement for written consent to release information, which must be signed by the client. The borrower must provide this consent before any personal information can be released."
Y,Non-Permanent/Temporary Residents,"The document explicitly states that 'electronic signing' is accepted for certain agreements. This includes forms such as 'consent to release information,' 'payout authorization form,' and 'tax application form.' The process involves using DocuSign for digital signatures, which is mentioned in the text."
Y,Open Mortgages,Tarion warranty required for new homes in Ontario.
N,Pre-Approval Programs,
Y,Pre-Approval Programs With No Premium,Pre-authorized debit agreement refers to an automated payment arrangement where a borrower's bank account is set to transfer funds to their loan account. This is often used for regular mortgage payments.
N,Professionals,
N,Purchase Plus Improvements,None found in the provided text.
Y,Purchase Plus Improvements Uninsurable,The policy requires a consent to release information form signed by all borrowers. This form authorizes the lender to share personal and financial information with third parties for the purpose of verifying income and assets.
Y,Raw/Vacant Land Financing,"The document mentions 'Tarion warranty required' as a specific policy requirement for new homes in the construction process. This indicates that all new homes must have a Tarion warranty. The exact wording is: 'Tarion warranty required, new home Tarion, Tarion new build warranty, new construction warranty requirement, Tarion enrollment.'"
Y,Refinance,Tarion warranty required for new homes in Ontario as per Tarion warranty enrollment requirement.
N,Refinance on Rentals,"The document does not mention anything about solar panels specifically in a clear or explicit manner. While there are mentions related to energy and renewable resources, such as 'solar panel contract' and 'solar panel lease,' these do not directly reference policies but rather contractual agreements or services."
Y,Rental Properties,The lender may require the use of DocuSign for electronic signing. The borrower must agree to release information through a consent form.
M,Reverse Mortgages,The document mentions 'well and septic' which refers to water and septic system requirements for a property.
N,Second Homes,
M,Spousal/Partner Buyout,The process involves a legal review to ensure compliance with all applicable laws and regulations.
Y,Standard Conventional Insurable Program,The document explicitly mentions that all properties must have a well and septic system. Page 4 states: 'All rural properties require a private well and septic system for approval.' This is clearly stated as a requirement.
M,Switch/Transfer,"The document mentions 'a property with wind turbine' which implies a policy related to properties with wind turbines. Although not explicitly stated, the presence of this keyword suggests that there is a specific policy regarding such properties, possibly relating to zoning, environmental impact or land use."
Y,"APPRAISAL, LEGAL AND TAXES","The policy states that a maximum of four units (e.g., 4-plex) can be financed."
Y,Appraisal Details,The document explicitly mentions 'Tarion warranty required' as a requirement for new homes.
M,Appraisal Rebates,"This policy relates to the maximum number of properties a single borrower can have financed. If you are applying for multiple mortgages, each mortgage must be listed separately and may be subject to additional criteria such as income verification and credit history."
Y,Approved Appraisers List,The document explicitly states the requirement for a Tarion warranty on new homes. It specifies that all new constructions in Ontario must have a Tarion warranty to ensure quality and protection for homeowners.
N,Approved Lawyers,
Y,APV or AVM,The document explicitly states that the lender requires a 'Tarion warranty required' for new homes. This means that any new construction property must be enrolled in Tarion's warranty program to be eligible for financing.
Y,Dual Representation by Lawyer,Clear evidence of a Tarion warranty requirement for new homes.
Y,Legal Rebates,"The document explicitly mentions Tarion warranty required for new homes. It states: 'Tarion warranty required, new home Tarion, Tarion new build warranty, new construction warranty requirement, Tarion enrollment'."
N,Lender Collects and Pays Property Taxes,No information provided in the given text.
Y,Loan on Appraised Value,The document explicitly mentions 'Tarion warranty required' which refers to the Tarion Warranty Program for new homes in Ontario.
N,Loan on Purchase Price,
Y,Max Capitalization & What Lender Pays For (Switch/Transfer),"The document explicitly states that properties with solar panels must have a solar panel lien placed on them. This lien ensures that if the property is sold, the proceeds from the sale are used to pay off any outstanding debts related to the solar panel installation."
Y,Power of Attorney,Tarion warranty required for new homes in Ontario.
