0
"{""Y/N/M"": ""M"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""BFS (CMHC Program)""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""BFS ALT-A""}"
---Error--- 
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": """", ""POLICY NAME"": ""BFS Stated Income (Bank Statements)""}"
"{""Y/N/M"": ""M"", ""POLICY DETAILS"": ""The lender will require a written consent form signed by all applicants prior to underwriting, which must be submitted by the broker."", ""POLICY NAME"": ""BFS Stated Income (Conventional)""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""BFS Stated Income (Sagen & CG Program)""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Cash Back Mortgages""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Collateral Switch/Transfer""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Construction""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Cottage/Recreational Properties""}"
"{""Y/N/M"": ""M"", ""POLICY DETAILS"": ""Meridian requires that all applicants complete and return a consent form prior to underwriting."", ""POLICY NAME"": ""Equity Program""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Flex Down Payments (ie; Credit Cards)""}"
---Error--- 
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": """", ""POLICY NAME"": ""Foreign Borrowers (Non-Residents)""}"
"{""Y/N/M"": ""M"", ""POLICY DETAILS"": ""Applicants must provide a signed consent letter for any personal or financial information to be shared with third parties."", ""POLICY NAME"": ""Limited Feature Mortgages""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Medical Professionals Program""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Mortgage & HELOC Combinations""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Net Worth Program""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""New to Canada""}"
