Y/N/M,POLICY NAME,POLICY DETAILS
,BFS (CMHC Program),"No explicit policies are mentioned regarding property taxes, down payments, electronic signatures, or Tarion warranties in this document. The mention of 'tax application form' and 'property tax payment form' suggests that there may be related forms available, but no specific policy details are provided."
Y,BFS ALT-A,Mentioned as 'Tarion warranty required' under specific conditions for new homes.
Y,BFS Stated Income (Bank Statements),The document explicitly states that all borrowers must complete a 'gift letter' form as part of their application process. The form confirms down payment gifts and includes details about the source of the funds.
Y,BFS Stated Income (Conventional),"Maximum number of properties a single borrower can have financed: 4 units (e.g., 2 owner-occupied and 2 rental properties)"
Y,BFS Stated Income (Sagen & CG Program),The property must be on land that is not subject to a power of sale listing.
Y,Cash Back Mortgages,"The borrower must complete and return a ""Consent to Release Information"" form in order to allow the lender to verify their personal information with third-party agencies."
Y,Collateral Switch/Transfer,Pre-authorized debit agreement; Pre-authorized payment form
M,Construction,Insufficient information to confirm a specific policy related to Tarion warranty.
Y,Cottage/Recreational Properties,Tarion warranty required
,Equity Program,Penalty calculator for mortgage prepayment and break costs is explicitly mentioned in Section 5.2.
Y,Flex Down Payments (ie; Credit Cards),Provincial restrictions on lending based on geographic location.
Y,Foreign Borrowers (Non-Residents),Tarion warranty required for new home construction.
Y,Limited Feature Mortgages,Mortgage Pre-Approval Letter
N,Medical Professionals Program,No specific policy mentioned related to。
Y,Mortgage & HELOC Combinations,Maximum number of properties per mortgage: 4
Y,Net Worth Program,Gift letter
Y,New to Canada,Tarion warranty required
Y,New to Canada (Rental),Maximum number of properties financed: 4
Y,No-fee Alt Lender,Tarion warranty required for new homes.
M,Non-Permanent/Temporary Residents,The policy mentions 'maximum number of properties' which implies a limit on how many properties can be financed under one mortgage.
Y,Open Mortgages,Maximum number of properties per client: 4
Y,Pre-Approval Programs,The policy states that properties with solar panels are eligible for certain incentives.
N,Pre-Approval Programs With No Premium,Not applicable
Y,Professionals,Tarion warranty required for new homes. New constructions must be Tarion enrolled to meet regulatory requirements.
N,Purchase Plus Improvements,No related policies explicitly mentioned.
Y,Purchase Plus Improvements Uninsurable,Tarion warranty required for new homes. This ensures quality and safety standards are met.
Y,Raw/Vacant Land Financing,The lender will verify income.
Y,Refinance,"(e.g., up to $1M limit, 3 days notice, etc.)"
Y,Refinance on Rentals,Mortgage Break Cost Calculator
Y,Rental Properties,"Maximum number of properties: The document specifies the 'maximum number of properties' that can be financed under this program. Specifically, it states: 'max units limit: property units limit: 4-plex max'. This means only up to four properties can be financed."
Y,Reverse Mortgages,This document explicitly states the lending areas as 'lending region' and 'geographic lending area'.
Y,Second Homes,The lender will perform a credit check on the borrower as part of the loan approval process.
Y,Spousal/Partner Buyout,Tarion warranty required for new homes.
Y,Standard Conventional Insurable Program,"The property must be a laneway house, coach house, carriage house, secondary suite (detached), laneway suite, or backyard suite."
